issue_id,num_reassignments
CAMEL-12656,1.0
CAMEL-18898,1.0
CAMEL-23000,1.0
CAMEL-17304,1.0
CAMEL-15913,1.0
CAMEL-14455,0.0
HADOOP-14928,0.0
HADOOP-17492,1.0
CAMEL-20691,0.0
HADOOP-15731,0.0
CAMEL-16531,2.0
HADOOP-9014,0.0
HADOOP-5465,0.0
CAMEL-17373,1.0
CAMEL-10951,0.0
CAMEL-5122,4.0
CAMEL-11966,1.0
CAMEL-17761,0.0
CAMEL-935,1.0
CAMEL-2737,2.0
CAMEL-24044,0.0
CAMEL-18637,0.0
CAMEL-3480,2.0
CAMEL-2316,0.0
HADOOP-2804,0.0
HADOOP-14701,1.0
HADOOP-1973,1.0
CAMEL-17621,1.0
HADOOP-4950,0.0
HADOOP-13346,3.0
CAMEL-1021,1.0
CAMEL-20259,0.0
CAMEL-6413,0.0
CAMEL-4174,0.0
CAMEL-2132,0.0
CAMEL-21465,0.0
HADOOP-3265,1.0
CAMEL-290,0.0
HADOOP-14032,0.0
HADOOP-15714,1.0
CAMEL-12782,1.0
HADOOP-17928,0.0
CAMEL-6497,0.0
CAMEL-22108,0.0
CAMEL-7828,0.0
CAMEL-7538,0.0
CAMEL-22660,0.0
CAMEL-9457,1.0
HADOOP-17793,1.0
HADOOP-19278,1.0
CAMEL-12545,1.0
CAMEL-16907,1.0
CAMEL-20204,1.0
CAMEL-1854,0.0
CAMEL-3577,0.0
CAMEL-2807,0.0
HADOOP-17894,1.0
HADOOP-11412,1.0
HADOOP-11081,1.0
CAMEL-5783,1.0
HADOOP-16364,0.0
HADOOP-326,0.0
HADOOP-17582,0.0
HADOOP-13624,1.0
CAMEL-13368,1.0
CAMEL-3338,1.0
CAMEL-4682,0.0
CAMEL-23759,0.0
CAMEL-3394,0.0
HADOOP-7737,0.0
HADOOP-17682,0.0
CAMEL-6641,1.0
HADOOP-7238,0.0
CAMEL-17040,0.0
CAMEL-14030,0.0
HADOOP-17399,0.0
CAMEL-21214,0.0
CAMEL-10044,1.0
CAMEL-3502,1.0
CAMEL-2857,0.0
HADOOP-17936,0.0
CAMEL-20048,1.0
CAMEL-13306,0.0
HADOOP-8113,2.0
HADOOP-4539,1.0
CAMEL-10391,1.0
CAMEL-10243,0.0
CAMEL-23351,1.0
CAMEL-16964,1.0
HADOOP-13988,1.0
HADOOP-17929,0.0
CAMEL-11969,0.0
CAMEL-15620,0.0
CAMEL-15353,0.0
CAMEL-22019,1.0
HADOOP-7143,1.0
HADOOP-16199,0.0
CAMEL-6372,0.0
HADOOP-8623,1.0
CAMEL-17299,1.0
HADOOP-8755,1.0
CAMEL-8942,1.0
CAMEL-17012,0.0
HADOOP-15676,0.0
CAMEL-16711,1.0
CAMEL-8334,1.0
HADOOP-13380,0.0
CAMEL-13863,1.0
CAMEL-9998,0.0
CAMEL-4762,0.0
HADOOP-9329,1.0
CAMEL-17131,2.0
HADOOP-10546,1.0
CAMEL-17574,1.0
CAMEL-12697,0.0
HADOOP-10788,2.0
CAMEL-4994,1.0
CAMEL-23420,1.0
CAMEL-8419,1.0
HADOOP-5641,2.0
CAMEL-14332,2.0
HADOOP-6859,0.0
HADOOP-8169,0.0
CAMEL-806,1.0
CAMEL-18056,1.0
HADOOP-17623,1.0
CAMEL-20650,0.0
CAMEL-21701,1.0
CAMEL-12304,1.0
CAMEL-8642,0.0
CAMEL-9186,1.0
CAMEL-2950,0.0
HADOOP-3950,1.0
CAMEL-11543,1.0
HADOOP-4640,1.0
HADOOP-15759,1.0
CAMEL-20400,1.0
CAMEL-10373,0.0
HADOOP-15288,1.0
HADOOP-13042,0.0
HADOOP-6301,1.0
CAMEL-14376,0.0
CAMEL-9520,1.0
HADOOP-10688,0.0
CAMEL-4436,0.0
HADOOP-2390,0.0
CAMEL-3854,1.0
HADOOP-2796,1.0
CAMEL-22770,0.0
HADOOP-1855,1.0
HADOOP-89,2.0
HADOOP-14125,1.0
CAMEL-5365,1.0
CAMEL-23607,1.0
HADOOP-11180,0.0
HADOOP-154,0.0
HADOOP-11349,1.0
CAMEL-4629,1.0
CAMEL-15558,0.0
CAMEL-15298,1.0
HADOOP-12482,0.0
CAMEL-7221,0.0
CAMEL-8856,1.0
CAMEL-8541,1.0
