loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,issue_type,defect_prone
330,2.28,25,3,TIKA-172,TIKA,pre_ai,Improvement,0
276,6.6,5,2,TIKA-3050,TIKA,pre_ai,Task,0
608,2.6363636363636362,55,10,TIKA-4289,TIKA,ai_era,Task,0
201,10.75,4,1,TIKA-801,TIKA,pre_ai,Bug,1
1254,4.555555555555555,63,3,TIKA-1657,TIKA,pre_ai,Improvement,0
92,5.333333333333333,3,1,TIKA-3015,TIKA,pre_ai,Task,0
508,2.5681818181818183,44,1,TIKA-4291,TIKA,ai_era,Bug,1
572,4.2727272727272725,33,2,TIKA-2601,TIKA,pre_ai,Bug,1
269,5.6,10,2,TIKA-3729,TIKA,pre_ai,Bug,1
882,3.5344827586206895,58,2,TIKA-4418,TIKA,ai_era,Task,0
7130,2.7467532467532467,462,41,TIKA-1719,TIKA,pre_ai,Improvement,0
289,8.571428571428571,7,2,TIKA-4577,TIKA,ai_era,Task,0
381,8.285714285714286,14,1,TIKA-3109,TIKA,ai_era,Bug,1
2480,3.878787878787879,132,14,TIKA-4650,TIKA,ai_era,Task,0
53,1.3333333333333333,3,1,TIKA-3016,TIKA,pre_ai,Task,0
377,3.3157894736842106,19,1,TIKA-4014,TIKA,ai_era,New Feature,0
419,1.8297872340425532,47,1,TIKA-3470,TIKA,pre_ai,Task,0
242,4.6,10,4,TIKA-60,TIKA,pre_ai,Improvement,0
268,4.666666666666667,12,2,TIKA-32,TIKA,pre_ai,Bug,1
292,1.8709677419354838,31,1,TIKA-1100,TIKA,pre_ai,Bug,1
288,4.916666666666667,12,1,TIKA-3469,TIKA,pre_ai,Task,0
239,2.0416666666666665,24,2,TIKA-3237,TIKA,pre_ai,Improvement,0
75,3.0,3,1,TIKA-3962,TIKA,ai_era,Task,0
