loc,cyclomatic_complexity,num_functions,num_files_changed,token_count,project_name,era,defect_prone
655,2.843137254901961,51,3,5355,CAMEL,pre_ai,1
72,2.333333333333333,6,1,633,CAMEL,ai_era,1
1375,1.536723163841808,177,2,8733,CAMEL,ai_era,1
291,2.1923076923076925,26,1,1859,HADOOP,pre_ai,1
2744,2.4935622317596566,233,1,17242,HADOOP,pre_ai,1
87,11.0,2,1,814,CAMEL,pre_ai,1
568,1.619047619047619,84,2,3594,CAMEL,pre_ai,1
746,2.5084745762711864,59,2,5331,HADOOP,ai_era,1
932,6.785714285714286,42,1,6877,CAMEL,ai_era,1
2072,2.6578947368421053,114,4,13300,HADOOP,ai_era,1
648,3.0454545454545454,44,2,5326,CAMEL,pre_ai,1
114,3.0,10,1,745,CAMEL,pre_ai,1
708,1.9014084507042253,71,6,4962,CAMEL,pre_ai,1
1246,6.177777777777778,45,2,9909,CAMEL,ai_era,1
266,1.411764705882353,34,2,1670,CAMEL,ai_era,1
486,1.5405405405405406,74,4,3117,CAMEL,ai_era,1
520,3.333333333333333,6,3,3130,HADOOP,pre_ai,1
108,1.5384615384615383,13,1,745,CAMEL,ai_era,1
2776,4.828125,128,6,21315,CAMEL,ai_era,1
706,3.918918918918919,37,1,6822,CAMEL,pre_ai,1
2214,2.55,200,7,16447,CAMEL,pre_ai,1
483,4.2631578947368425,19,2,3614,CAMEL,ai_era,1
131,1.0740740740740742,27,1,705,CAMEL,pre_ai,1
178,2.0,17,1,1200,CAMEL,pre_ai,1
52,1.5,8,1,337,HADOOP,ai_era,1
1241,2.826530612244898,98,4,9349,CAMEL,pre_ai,1
3654,2.2652439024390243,328,2,23127,HADOOP,ai_era,1
1484,2.565217391304348,138,1,8862,CAMEL,ai_era,1
148,1.4193548387096775,31,1,846,CAMEL,pre_ai,1
281,2.0869565217391304,23,1,1810,HADOOP,ai_era,1
1173,4.405797101449275,69,1,7615,CAMEL,ai_era,1
1819,2.2419354838709675,186,14,13025,CAMEL,pre_ai,1
603,5.2,30,1,4542,CAMEL,pre_ai,1
3928,2.2410714285714284,336,3,25513,HADOOP,ai_era,1
9543,1.6417233560090705,882,13,55878,HADOOP,ai_era,1
190,2.5625,16,1,1987,CAMEL,pre_ai,1
457,2.0294117647058822,34,1,3127,HADOOP,ai_era,1
1863,21.53846153846154,26,1,14183,CAMEL,ai_era,1
1174,2.794117647058824,102,2,7722,CAMEL,ai_era,1
2801,3.355670103092784,194,1,18161,HADOOP,pre_ai,1
309,3.0,15,1,1876,HADOOP,pre_ai,1
265,2.1379310344827585,29,1,1805,CAMEL,ai_era,1
1330,5.9,60,1,10128,HADOOP,pre_ai,1
2165,1.568904593639576,283,18,13833,CAMEL,ai_era,1
183,1.375,32,1,1148,CAMEL,pre_ai,1
983,4.448979591836735,49,1,6566,HADOOP,pre_ai,1
7040,2.1496881496881497,481,16,48154,HADOOP,ai_era,1
494,2.2777777777777777,54,1,3241,CAMEL,ai_era,1
1978,6.523076923076923,65,2,14491,CAMEL,ai_era,1
2736,1.3930753564154783,491,5,15787,CAMEL,pre_ai,1
385,1.4901960784313726,51,5,2295,CAMEL,ai_era,1
655,3.731707317073171,41,1,4700,CAMEL,pre_ai,1
2602,3.096590909090909,176,2,16407,HADOOP,pre_ai,1
333,3.0,19,1,2207,HADOOP,ai_era,1
704,2.3472222222222223,72,1,4442,HADOOP,pre_ai,1
613,1.4767441860465116,86,3,4184,CAMEL,ai_era,1
143,2.8181818181818183,11,2,1106,HADOOP,pre_ai,1
812,2.6,65,1,5153,HADOOP,pre_ai,1
883,6.0,35,1,6814,CAMEL,ai_era,1
6540,2.754424778761062,452,8,43841,HADOOP,pre_ai,1
1703,2.772727272727273,88,1,12190,HADOOP,ai_era,1
120,2.5,6,1,957,HADOOP,ai_era,1
321,1.4594594594594594,37,1,2179,CAMEL,ai_era,1
808,4.029411764705882,34,1,7014,CAMEL,ai_era,1
102,2.4,10,1,683,CAMEL,pre_ai,1
3427,1.7865853658536586,328,5,23189,HADOOP,pre_ai,1
382,3.5454545454545454,22,1,3036,CAMEL,ai_era,1
1040,1.935185185185185,108,17,6678,HADOOP,ai_era,1
1201,3.0,80,1,7914,HADOOP,pre_ai,1
763,3.4782608695652173,46,5,5987,CAMEL,pre_ai,1
396,4.08,25,1,2931,CAMEL,ai_era,1
4116,3.173469387755102,294,3,26905,HADOOP,pre_ai,1
332,1.8035714285714288,56,1,1913,CAMEL,pre_ai,1
412,2.290322580645161,31,1,2666,HADOOP,ai_era,1
112,1.625,16,1,846,CAMEL,pre_ai,1
668,3.176470588235294,34,1,5049,HADOOP,pre_ai,1
866,3.078125,64,1,6023,CAMEL,ai_era,1
57,3.0,4,1,411,CAMEL,pre_ai,1
416,4.842105263157895,19,2,3418,CAMEL,ai_era,1
1832,7.56140350877193,57,1,13686,CAMEL,ai_era,1
77,2.0,4,1,703,CAMEL,pre_ai,1
